section_name	web_url	pub_date	snippet
World	https://www.nytimes.com/aponline/2018/07/03/world/americas/ap-lt-brazil-measles.html	2018-07-03T16:24:09+0000	A measles outbreak is growing in Brazil after cases were imported from neighboring Venezuela where health services have collapsed.
World	https://www.nytimes.com/2018/07/03/world/europe/austria-borders-migrants-kurz.html	2018-07-03T16:10:41+0000	Officials in Vienna said they would block migrants from entering the country from the south if a similar German deal took effect.
World	https://www.nytimes.com/aponline/2018/07/03/world/americas/ap-lt-mexico-president-elect.html	2018-07-03T16:06:22+0000	New President-elect Andres Manuel Lopez Obrador went to one of his most important meetings yet Tuesday by cruising through city traffic in a compact car with the windows down and no visible security detail, establishing a casual new style of leade...
World	https://www.nytimes.com/reuters/2018/07/03/world/europe/03reuters-eu-poland-president.html	2018-07-03T15:57:45+0000	Poland's President Andrzej Duda has confirmed that Supreme Court chief Malgorzata Gersdorf will retire on July 4, in line with legislation introduced by the ruling Law and Justice party, an aide to Duda said on Tuesday.
World	https://www.nytimes.com/aponline/2018/07/03/world/europe/ap-eu-poland-judiciary-the-latest.html	2018-07-03T15:51:36+0000	The Latest on the overhaul of Poland's judicial system (all times local):
World	https://www.nytimes.com/reuters/2018/07/03/world/asia/03reuters-pakistan-floods.html	2018-07-03T15:46:00+0000	The heaviest rains in 38 years have turned roads into virtual rivers in the eastern Pakistani city of Lahore, stranding motorists and leaving at least six people dead, an official said on Tuesday.
World	https://www.nytimes.com/reuters/2018/07/03/world/middleeast/03reuters-france-egypt-arms.html	2018-07-03T15:45:55+0000	France's weapons sales to the Middle East doubled in 2017, a government report showed, as President Emmanuel Macron defied pressure from lawmakers and rights groups to curb arms flows to a region mired in conflict.     
World	https://www.nytimes.com/reuters/2018/07/03/world/middleeast/03reuters-yemen-security-hodeidah-students.html	2018-07-03T15:45:54+0000	Fighting in a port city in Yemen has forced around 2,000 high school students to flee to the capital to sit exams, braving a six-hour journey along a mountain road scarred by land mines and aerial bombardment. 
World	https://www.nytimes.com/reuters/2018/07/03/world/middleeast/03reuters-israel-palestinians-cyber.html	2018-07-03T15:45:50+0000	Israel's military accused the Palestinian Islamist group Hamas on Tuesday of trying to hack the mobile phones of Israeli soldiers through a malicious World Cup score-tracking app and two bogus dating apps.
World	https://www.nytimes.com/reuters/2018/07/03/world/middleeast/03reuters-mideast-crisis-syria-rebels.html	2018-07-03T15:45:47+0000	Syrian rebel negotiators began a new round of talks with Russian officers on Tuesday over a peace deal in southern Syria under which they would hand over weapons and allow Russian military police to enter rebel-held towns, a rebel spokesman said.
